#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 07 09 50 999 99.0 99.0  2.21 16.00  6.98 234 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 10 50 999 99.0 99.0  2.08 16.00  7.36 217 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 11 50 999 99.0 99.0  1.93 16.00  6.73 226 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 12 50 999 99.0 99.0  1.92 14.81  6.36 202 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 13 50 999 99.0 99.0  2.05 14.81  6.86 234 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 14 50 999 99.0 99.0  1.96 14.81  6.68 219 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 15 50 999 99.0 99.0  2.11 14.81  6.95 241 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 16 50 999 99.0 99.0  1.92 14.81  6.40 227 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 17 50 999 99.0 99.0  1.91 14.81  6.58 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 18 50 999 99.0 99.0  1.92 13.79  6.49 232 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 19 50 999 99.0 99.0  1.83 14.81  6.61 231 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 20 50 999 99.0 99.0  1.79 14.81  6.31 229 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 21 50 999 99.0 99.0  1.84 13.79  6.74 226 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 22 50 999 99.0 99.0  1.95 13.79  7.16 229 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 07 23 50 999 99.0 99.0  1.77 13.79  6.49 216 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 00 50 999 99.0 99.0  1.79 12.90  6.40 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 01 50 999 99.0 99.0  1.68 13.79  6.14 212 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 02 50 999 99.0 99.0  1.71 13.79  6.05 236 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 03 50 999 99.0 99.0  1.74 13.79  6.13 216 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 04 50 999 99.0 99.0  1.71 13.79  6.11 232 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 05 50 999 99.0 99.0  1.80 12.90  6.43 224 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 06 50 999 99.0 99.0  1.72 13.79  6.43 225 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 07 50 999 99.0 99.0  1.64 13.79  6.07 228 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 08 50 999 99.0 99.0  1.72 12.90  6.15 222 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 09 50 999 99.0 99.0  1.60 12.90  5.58 205 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 10 50 999 99.0 99.0  1.78 12.90  5.99 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 11 50 999 99.0 99.0  1.60 12.12  5.94 222 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 12 50 999 99.0 99.0  1.68 12.90  6.03 232 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 14 50 999 99.0 99.0  1.60 12.12  5.85 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 15 50 999 99.0 99.0  1.65 12.12  5.97 227 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 16 50 999 99.0 99.0  1.60 12.12  6.09 223 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 17 50 999 99.0 99.0  1.66 12.12  6.21 220 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 18 50 999 99.0 99.0  1.47 12.12  6.07 231 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 19 50 999 99.0 99.0  1.47 12.90  6.05 232 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 20 50 999 99.0 99.0  1.57 12.12  6.48 214 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 21 50 999 99.0 99.0  1.45 12.90  6.35 237 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 22 50 999 99.0 99.0  1.49 12.12  6.79 223 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 08 23 50 999 99.0 99.0  1.37 11.43  6.13 211 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 00 50 999 99.0 99.0  1.41 12.12  6.06 226 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 01 50 999 99.0 99.0  1.38 12.12  5.80 217 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 02 50 999 99.0 99.0  1.49 12.12  6.04 222 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 03 50 999 99.0 99.0  1.38 10.81  5.62 198 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 04 50 999 99.0 99.0  1.50 11.43  6.01 220 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 05 50 999 99.0 99.0  1.31 11.43  5.78 206 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 06 50 999 99.0 99.0  1.45 12.12  6.03 218 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 07 50 999 99.0 99.0  1.38 12.12  5.67 216 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 09 50 999 99.0 99.0  1.39 11.43  5.82 214 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 10 50 999 99.0 99.0  1.34 12.12  5.76 227 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 11 50 999 99.0 99.0  1.34 10.81  5.81 223 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 12 50 999 99.0 99.0  1.39 12.12  5.71 221 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 13 50 999 99.0 99.0  1.37 10.81  5.56 215 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 14 50 999 99.0 99.0  1.48 12.12  5.46 225 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 15 50 999 99.0 99.0  1.50 11.43  5.73 211 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 16 50 999 99.0 99.0  1.49 12.12  5.76 231 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 17 50 999 99.0 99.0  1.54 11.43  5.73 224 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 18 50 999 99.0 99.0  1.47 11.43  5.72 234 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 19 50 999 99.0 99.0  1.45 12.90  5.97 234 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 20 50 999 99.0 99.0  1.37 16.00  6.24 233 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 21 50 999 99.0 99.0  1.28 16.00  6.06 232 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 22 50 999 99.0 99.0  1.29 10.81  6.32 207 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 09 23 50 999 99.0 99.0  1.45 11.43  6.95 217 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 00 50 999 99.0 99.0  1.45 16.00  6.89 230 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 01 50 999 99.0 99.0  1.39 16.00  6.38 232 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 02 50 999 99.0 99.0  1.46 16.00  6.57 231 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 03 50 999 99.0 99.0  1.35 16.00  6.03 237 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 04 50 999 99.0 99.0  1.42 16.00  6.17 211 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 05 50 999 99.0 99.0  1.26 10.81  5.60 213 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 06 50 999 99.0 99.0  1.40 16.00  5.81 209 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 07 50 999 99.0 99.0  1.56 16.00  6.18 216 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 08 50 999 99.0 99.0  1.42 16.00  5.96 250 9999.0 999.0 999.0 999.0 99.0 99.00
2017 01 10 09 50 999 99.0 99.0  1.51 16.00  6.23 233 9999.0 999.0 999.0 999.0 99.0 99.00
